id,x,y,z
Node149,117.31844235794651,-245.4946141948787,6.755096509102442
Node150,114.44933794291873,-135.78422087768357,-8.080218535751508
Node151,126.2789174225995,-214.35663398474847,-95.83740419180268
Node152,126.82322501857168,-244.18002087123222,-128.6893533548911
Node153,79.60967068918329,-187.12383126368613,-162.98731274647415
Node154,135.36697912254184,-191.13821649252372,-189.4078460166364
Node155,94.62625270309604,-162.95388966200707,-135.22002942191838
Node156,119.02314795792991,-183.4659829720781,-227.6166079322035
Node157,69.56477115176627,-192.9345318338737,-242.7553688873068
Node158,103.41363391204155,-133.1387549018092,-253.07059250565686
Node159,84.66862869131666,-89.55316759037156,-209.22487172185575
Node160,25.96640935155499,-71.70095411610271,-220.22532750082658
Node161,-35.14536791393853,-50.54296837887073,-169.0268223868259
Node162,-50.357669964300754,-12.071331955295273,-177.3078572880314
Node163,-67.7045474527114,3.2547828428544294,-65.31599975521247
Node164,-114.76426798531429,-63.10739534336413,-124.0372432916227
Node165,-80.27181118556516,-14.432426399856075,-39.54044059133425
Node166,-82.38186801894732,-13.910679612900115,-134.82514524801417
Node167,-96.32650147448356,-22.085364040219986,-158.45725852852374
Node168,-86.75839795305029,-68.32501009647375,-147.6072759998176
Node169,-56.74796797743278,-50.73592591303305,-221.42032134253435
Node170,-35.756672224190986,-18.060659268470285,-232.2330158815244
Node171,-12.790716625038392,-5.558770310359435,-202.14956685570547
Node172,50.10951967196672,-20.425042101323292,-152.49524040091774
